time_tag,xray_flux_0.05_0.4nm,xray_flux_0.1_0.8nm
2026-06-30 16:35:00+00:00,9.275206025449735e-08,2.719362328207353e-06
2026-06-30 16:36:00+00:00,9.134836176372121e-08,2.694703653105534e-06
2026-06-30 16:37:00+00:00,8.61192788192966e-08,2.65209746430628e-06
2026-06-30 16:38:00+00:00,8.261133643827635e-08,2.6173447622568347e-06
2026-06-30 16:39:00+00:00,8.036890619678162e-08,2.591728161860374e-06
2026-06-30 16:40:00+00:00,8.439514687097471e-08,2.6053403416881338e-06
2026-06-30 16:41:00+00:00,1.0201740252568925e-07,2.7459568627818957e-06
2026-06-30 16:42:00+00:00,1.3508146423646394e-07,3.088681296503637e-06
2026-06-30 16:43:00+00:00,1.7659019135862766e-07,3.606542350098607e-06
2026-06-30 16:44:00+00:00,2.2545414424257615e-07,4.2431684050825424e-06
2026-06-30 16:45:00+00:00,3.076130781209941e-07,4.87613033328671e-06
2026-06-30 16:46:00+00:00,4.201138210646605e-07,5.549491106648929e-06
2026-06-30 16:47:00+00:00,4.2548023770905285e-07,5.721588422602508e-06
2026-06-30 16:48:00+00:00,3.667180976663076e-07,5.509846687345998e-06
2026-06-30 16:49:00+00:00,3.2046258979789854e-07,5.286459781927988e-06
2026-06-30 16:50:00+00:00,2.7375710942578735e-07,5.009928827348631e-06
2026-06-30 16:51:00+00:00,2.2435435198531198e-07,4.662959781853715e-06
2026-06-30 16:52:00+00:00,1.7652558881309233e-07,4.224920758133521e-06
2026-06-30 16:53:00+00:00,1.5053252866437108e-07,3.872615252475953e-06
2026-06-30 16:54:00+00:00,1.421484938646245e-07,3.664634505184949e-06
2026-06-30 16:55:00+00:00,1.5870593017552895e-07,3.626499164965935e-06
2026-06-30 16:56:00+00:00,1.5533683495050354e-07,3.5635000585898524e-06
2026-06-30 16:57:00+00:00,1.141509216040504e-07,3.271901277912548e-06
2026-06-30 16:58:00+00:00,8.519594274503106e-08,2.965210796901374e-06
2026-06-30 16:59:00+00:00,7.324341311232274e-08,2.761530140560353e-06
2026-06-30 17:00:00+00:00,6.707276156703301e-08,2.6137297481909627e-06
2026-06-30 17:01:00+00:00,5.868783858886673e-08,2.4846592623362085e-06
2026-06-30 17:02:00+00:00,5.6638839396327973e-08,2.3883478661446134e-06
2026-06-30 17:03:00+00:00,5.3538300903710485e-08,2.302678922205814e-06
2026-06-30 17:04:00+00:00,4.8134673136246426e-08,2.246387339255307e-06
2026-06-30 17:05:00+00:00,4.843990453196057e-08,2.203675421696971e-06
2026-06-30 17:06:00+00:00,4.8307420286164415e-08,2.1435032522276742e-06
2026-06-30 17:07:00+00:00,4.720746460407099e-08,2.093145440085209e-06
2026-06-30 17:08:00+00:00,4.9245567623756876e-08,2.0796412627532845e-06
2026-06-30 17:09:00+00:00,4.708330436642427e-08,2.048498345175176e-06
2026-06-30 17:10:00+00:00,4.424589405971346e-08,2.012209506574436e-06
2026-06-30 17:11:00+00:00,4.576074985607193e-08,1.982412868528627e-06
2026-06-30 17:12:00+00:00,4.625885452469448e-08,1.955380867002532e-06
2026-06-30 17:13:00+00:00,4.489900362614208e-08,1.936196213137009e-06
2026-06-30 17:14:00+00:00,4.2824144230735335e-08,1.925210881381645e-06
2026-06-30 17:15:00+00:00,4.771214889842668e-08,1.931462293214281e-06
2026-06-30 17:16:00+00:00,4.8473395963810624e-08,1.935962472998653e-06
2026-06-30 17:17:00+00:00,4.9046651184880836e-08,1.9604078715929063e-06
2026-06-30 17:18:00+00:00,6.386747486430977e-08,2.0655950265791034e-06
2026-06-30 17:19:00+00:00,8.314505350881518e-08,2.2298215753835397e-06
2026-06-30 17:20:00+00:00,1.0752879830988606e-07,2.416223651380278e-06
2026-06-30 17:21:00+00:00,1.336137813723326e-07,2.631522420415422e-06
2026-06-30 17:22:00+00:00,1.480400158015982e-07,2.799577941914322e-06
2026-06-30 17:23:00+00:00,1.588104225902498e-07,2.9029895358689828e-06
2026-06-30 17:24:00+00:00,2.712701245854987e-07,3.499724243738456e-06
2026-06-30 17:25:00+00:00,4.994315645490133e-07,4.731107310362859e-06
2026-06-30 17:26:00+00:00,4.851388553106517e-07,5.092465016787173e-06
2026-06-30 17:27:00+00:00,3.2803092153699254e-07,4.603444722306449e-06
2026-06-30 17:28:00+00:00,2.472997664426657e-07,4.086062745045638e-06
2026-06-30 17:29:00+00:00,2.1602758693006765e-07,3.757965032491484e-06
2026-06-30 17:30:00+00:00,1.9341972290476408e-07,3.5610476061265217e-06
2026-06-30 17:31:00+00:00,1.786263368330765e-07,3.4278095881745685e-06
